[20250317 19:49:12] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 19:52:36] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 19:56:26] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 19:57:24] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 19:58:49] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:00:53] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:01:12] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:02:22] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:02:24] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:02:38] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 20:04:38] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:04:38] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:04:40] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 20:06:12] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:06:12] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:06:14] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 20:16:03] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:16:03] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:16:05] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 20:16:42] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250317 20:16:42] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250317 20:16:44] [INFO] GPT | gpt | loading GPT pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/GPT.pt
[20250317 20:19:32] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
