[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | device: cuda
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | dtype: torch.float16
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | DVAE coef: 坯仳谬筺巚嘡拸团厏莧測跾蚐凹儮刽栓倣裴稕差书櫾渚砏弥禸賰甄懩瘷帾簍乓跑湞巹虅嫼粇涏胊厔賂特臨忱眿嵏膓豮衚巾蝤櫼湚嘏竛澼贲緡懦椁刿枝硓衯脮巊栐苿潱孏衡檐跱囝燾胤簾暃枓觭紈巭崑相税涏絎蟤账翴燩簨稿璲詣蛂嶴嶡嗕諹皒竏礀箜購诽燤縱氾斮惣誁摾巵炯勸席兏緍悠賳繟臰伭萻舅慓英渟嶢亂拽磔荏紜帐趵謝懹耂蔾勐愳谟丯左嫐图瓔槏血竴赸祠凟琥昿脞汃袁謡嶴劦拻扩夏茏寜賗滑燶褹儿槅仓貹琊巨嫚曺盓昏襦咘貛炇凱瀎砽樉啃蜄杊巠倪曻秕沏蘈宜跀漱臖综栾戇犣蘰卣嶌潩狻曃怏皁楬豗嶔懻僊嘾寵剳趿猛巀㴁
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: tokenizer >>>>
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'Tokenizer', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/tokenizer.pt'}}
[20250318 00:42:10] [INFO] Tokenizer | tokenizer | loading Tokenizer pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/tokenizer.pt
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: dvae_encode >>>>
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'DVAE', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/DVAE_full.pt', 'dim': 512, 'decoder_config': {'idim': 512, 'odim': 512, 'hidden': 256, 'n_layer': 12, 'bn_dim': 128}, 'encoder_config': {'idim': 512, 'odim': 1024, 'hidden': 256, 'n_layer': 12, 'bn_dim': 128}, 'vq_config': {'dim': 1024, 'levels': [5, 5, 5, 5], 'G': 2, 'R': 2}, 'coef': '坯仳谬筺巚嘡拸团厏莧測跾蚐凹儮刽栓倣裴稕差书櫾渚砏弥禸賰甄懩瘷帾簍乓跑湞巹虅嫼粇涏胊厔賂特臨忱眿嵏膓豮衚巾蝤櫼湚嘏竛澼贲緡懦椁刿枝硓衯脮巊栐苿潱孏衡檐跱囝燾胤簾暃枓觭紈巭崑相税涏絎蟤账翴燩簨稿璲詣蛂嶴嶡嗕諹皒竏礀箜購诽燤縱氾斮惣誁摾巵炯勸席兏緍悠賳繟臰伭萻舅慓英渟嶢亂拽磔荏紜帐趵謝懹耂蔾勐愳谟丯左嫐图瓔槏血竴赸祠凟琥昿脞汃袁謡嶴劦拻扩夏茏寜賗滑燶褹儿槅仓貹琊巨嫚曺盓昏襦咘貛炇凱瀎砽樉啃蜄杊巠倪曻秕沏蘈宜跀漱臖综栾戇犣蘰卣嶌潩狻曃怏皁楬豗嶔懻僊嘾寵剳趿猛巀㴁'}}
[20250318 00:42:10] [INFO] DVAE | dvae | loading DVAE pretrained model: E:\Code\AudioLLM\ChatTTSPlus-master\chattts_plus\checkpoints\asset/DVAE_full.pt
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | loading model: dvae_decode >>>>
[20250318 00:42:10] [INFO] ChatTTSPlusPipeline | chattts_plus_pipeline | {'name': 'DVAE', 'infer_type': 'pytorch', 'kwargs': {'model_path': 'checkpoints/asset/Decoder.pt', 'dim': 384, 'decoder_config': {'idim': 384, 'odim': 384, 'hidden': 512, 'n_layer': 12, 'bn_dim': 128}, 'coef': '坯仳谬筺巚嘡拸团厏莧測跾蚐凹儮刽栓倣裴稕差书櫾渚砏弥禸賰甄懩瘷帾簍乓跑湞巹虅嫼粇涏胊厔賂特臨忱眿嵏膓豮衚巾蝤櫼湚嘏竛澼贲緡懦椁刿枝硓衯脮巊栐苿潱孏衡檐跱囝燾胤簾暃枓觭紈巭崑相税涏絎蟤账翴燩簨稿璲詣蛂嶴嶡嗕諹皒竏礀箜購诽燤縱氾斮惣誁摾巵炯勸席兏緍悠賳繟臰伭萻舅慓英渟嶢亂拽磔荏紜帐趵謝懹耂蔾勐愳谟丯左嫐图瓔槏血竴赸祠凟琥昿脞汃袁謡嶴劦拻扩夏茏寜賗滑燶褹儿槅仓貹琊巨嫚曺盓昏襦咘貛炇凱瀎砽樉啃蜄杊巠倪曻秕沏蘈宜跀漱臖综栾戇犣蘰卣嶌潩狻曃怏皁楬豗嶔懻僊嘾寵剳趿猛巀㴁'}}
